FlightID,RouteCode,Origin,Destination,FlightDate,FlightDurationMins,AircraftType,SeatsAvailable,SeatsSold,Revenue,OperationalCost
61,SIN-JFK,SIN,JFK,2024-03-12,621,B777,140,110,456553.71,764542.25
62,MAA-JFK,MAA,JFK,2024-05-11,701,B737,170,106,163492.65,437157.47
63,MAA-DXB,MAA,DXB,2023-11-24,613,A320,135,69,180699.29,688835.99
64,HYD-DEL,HYD,DEL,2024-02-29,477,A380,238,169,660860.92,495604.83
65,DXB-SIN,DXB,SIN,2023-01-21,843,ATR72,197,172,179098.88,587238.2
66,DXB-SIN,DXB,SIN,2023-08-14,559,B737,169,105,461946.87,542644.58
67,DXB-BLR,DXB,BLR,2024-04-23,190,ATR72,236,56,411516.11,1054857.51
68,BOM-BLR,BOM,BLR,2024-03-14,198,B777,146,56,157981.28,413119.63
69,SIN-CCU,SIN,CCU,2023-12-12,839,B777,171,146,1118130.61,583743.03
70,DEL-LHR,DEL,LHR,2023-01-20,827,ATR72,113,94,241538.19,138474.03
71,BOM-DEL,BOM,DEL,2023-09-11,264,A320,259,89,237613.5,967644.35
72,DEL-MAA,DEL,MAA,2024-04-21,776,A380,296,144,313131.46,1351220.6
73,DEL-HYD,DEL,HYD,2023-11-15,170,ATR72,106,69,347109.82,681554.79
74,DXB-SIN,DXB,SIN,2023-07-23,137,ATR72,276,262,1412362.55,395173.51
75,MAA-DEL,MAA,DEL,2023-02-12,415,ATR72,209,144,213508.39,1006286.55
76,BOM-SIN,BOM,SIN,2024-05-16,168,B777,192,167,993843.8,672003.9
77,LHR-MAA,LHR,MAA,2024-05-10,536,B777,287,201,578632.52,1745138.4
78,DEL-CCU,DEL,CCU,2024-04-06,309,B777,245,206,1169527.77,706986.47
79,SIN-CCU,SIN,CCU,2023-07-06,559,B737,190,116,392355.14,1189016.94
80,MAA-JFK,MAA,JFK,2023-01-11,589,B737,121,80,483241.81,463331.1
81,HYD-LHR,HYD,LHR,2024-05-17,518,A320,123,87,221952.21,625956.88
82,MAA-DXB,MAA,DXB,2024-04-29,626,ATR72,188,158,1260274.4,791932.8
83,CCU-LHR,CCU,LHR,2023-10-05,373,A380,159,65,393184.37,438267.16
84,LHR-BLR,LHR,BLR,2023-07-16,281,B777,170,142,728049.38,937259.12
85,JFK-MAA,JFK,MAA,2023-04-13,258,A380,158,96,216584.72,140259.74
86,LHR-BLR,LHR,BLR,2023-10-08,106,A320,241,124,729358.3,381486.82
87,SIN-DEL,SIN,DEL,2023-01-13,647,A380,220,172,702324.43,427472.05
88,BOM-CCU,BOM,CCU,2024-05-04,176,A320,202,175,265750.66,949917.8
89,BOM-HYD,BOM,HYD,2023-06-02,890,ATR72,177,71,564977.31,271588.74
90,DXB-HYD,DXB,HYD,2024-06-19,449,B777,213,126,884667,1477835.28
91,MAA-BOM,MAA,BOM,2023-04-12,841,B737,260,104,296662.38,338874.19
92,HYD-BLR,HYD,BLR,2023-03-18,220,A320,204,165,961223.66,757545.3
93,BOM-MAA,BOM,MAA,2023-10-23,783,A380,279,270,1128119.21,1412238.43
94,MAA-HYD,MAA,HYD,2024-03-11,177,ATR72,157,132,269666.21,384166.65
95,BLR-DEL,BLR,DEL,2023-03-03,229,A380,252,241,1631493.39,1640871.21
96,SIN-DEL,SIN,DEL,2024-04-24,765,A380,279,153,1162606.25,1088916.77
97,SIN-LHR,SIN,LHR,2023-03-24,672,A320,210,132,689831.4,201676.09
98,HYD-BOM,HYD,BOM,2023-10-03,650,A320,295,243,540999.43,1185184.87
99,SIN-MAA,SIN,MAA,2023-07-05,659,B777,262,258,1146056.8,357814.16
100,CCU-SIN,CCU,SIN,2023-12-08,388,A320,141,92,357099.44,545939.02
101,DXB-JFK,DXB,JFK,2023-02-07,525,A320,180,114,371972.48,1226726.16
102,DXB-JFK,DXB,JFK,2023-01-02,733,ATR72,218,155,213811.43,875122.68
103,JFK-SIN,JFK,SIN,2024-03-28,838,A320,152,84,406941.15,995838.81
104,SIN-LHR,SIN,LHR,2023-05-05,89,ATR72,161,140,295210.6,678647.5
105,LHR-DXB,LHR,DXB,2023-04-06,290,A320,218,80,442717.43,382507.37
106,MAA-JFK,MAA,JFK,2023-10-07,485,B777,220,112,470120.59,373291.65
107,HYD-JFK,HYD,JFK,2023-05-20,131,A380,297,252,1759183.44,863446.27
108,LHR-MAA,LHR,MAA,2023-01-03,349,A380,250,198,1582478.63,958942.54
109,BLR-LHR,BLR,LHR,2024-05-10,413,A380,241,189,688048.9,1586667.84
110,HYD-MAA,HYD,MAA,2024-01-28,299,B777,111,70,434905.52,574137.83
111,DXB-SIN,DXB,SIN,2023-06-05,567,A320,132,114,884352.16,377304.47
112,DEL-LHR,DEL,LHR,2023-04-13,598,B777,103,96,192872.44,638577.8
113,BLR-DEL,BLR,DEL,2024-04-25,860,A380,186,151,837877.34,1131055.74
114,LHR-DXB,LHR,DXB,2023-11-21,701,B777,238,59,314010.76,536826.97
115,MAA-HYD,MAA,HYD,2023-04-03,504,A320,294,212,1256573.99,418404.6
116,BLR-CCU,BLR,CCU,2023-01-30,107,A380,114,87,305304.18,395609.42
117,HYD-JFK,HYD,JFK,2024-02-26,639,B737,143,72,111800.05,886486.39
118,JFK-HYD,JFK,HYD,2024-05-24,657,B737,159,109,595721.23,580244.6
119,BOM-LHR,BOM,LHR,2023-10-22,753,ATR72,140,59,241434.4,411950.96
120,JFK-MAA,JFK,MAA,2024-03-10,766,A380,216,127,304103.91,687981.2
121,SIN-DEL,SIN,DEL,2023-08-31,450,ATR72,191,125,993605.54,502412.26
122,DXB-MAA,DXB,MAA,2023-01-09,639,A320,255,240,1074501.84,1633469.51
123,MAA-HYD,MAA,HYD,2023-12-27,284,B737,258,114,654856.04,1359597.03
124,BLR-DEL,BLR,DEL,2023-02-10,376,B777,108,87,309200.49,174393.35
125,MAA-DXB,MAA,DXB,2024-03-01,239,B737,133,119,849091.68,408086.12
126,LHR-MAA,LHR,MAA,2023-06-18,323,B777,175,145,1028452.91,1012592.3
127,SIN-DEL,SIN,DEL,2023-05-25,832,B737,273,235,1344398.25,891058.7
128,LHR-CCU,LHR,CCU,2023-04-03,869,B777,103,66,313896.41,372826.36
129,MAA-SIN,MAA,SIN,2024-01-16,170,B737,220,56,298862.37,1462482.7
130,CCU-HYD,CCU,HYD,2023-03-06,710,B777,279,127,704173.87,425026.04
131,BOM-DEL,BOM,DEL,2023-11-08,564,A320,124,80,576865.21,203498.52
132,SIN-CCU,SIN,CCU,2024-03-05,661,B737,206,75,512688.87,951111.01
133,MAA-BOM,MAA,BOM,2024-01-15,282,B777,213,110,768696.65,301607.72
134,CCU-JFK,CCU,JFK,2024-01-03,122,B777,170,74,575531.16,1136257.37
135,SIN-DEL,SIN,DEL,2023-08-06,717,ATR72,105,53,344900.79,242563.35
136,BLR-MAA,BLR,MAA,2023-03-12,843,ATR72,153,125,313957.43,947393.08
137,CCU-BLR,CCU,BLR,2023-01-03,343,B737,133,119,327794.95,250290.33
138,BOM-HYD,BOM,HYD,2023-01-16,426,B737,250,132,146581.72,611319.64
139,BLR-SIN,BLR,SIN,2024-06-22,176,A320,221,164,1057163.56,880038.65
140,DEL-LHR,DEL,LHR,2024-05-30,286,ATR72,111,96,622328.54,685456.26
141,LHR-MAA,LHR,MAA,2024-04-14,718,A320,115,111,769350.97,395933.09
142,DEL-LHR,DEL,LHR,2024-03-30,135,A320,182,87,127000.48,455928.05
143,JFK-LHR,JFK,LHR,2023-11-29,450,ATR72,235,125,522000.99,1070106.84
144,DEL-BLR,DEL,BLR,2023-08-09,500,B777,158,102,343997.18,570647.53
145,DXB-DEL,DXB,DEL,2023-11-17,497,A380,270,115,416312.32,471517.56
146,SIN-DEL,SIN,DEL,2023-04-04,147,A320,210,74,459697.09,653186.21
147,BLR-JFK,BLR,JFK,2023-03-03,660,ATR72,243,134,762472.44,813324.29
148,DXB-BOM,DXB,BOM,2023-10-22,674,A380,190,76,383452.65,402606.31
149,SIN-HYD,SIN,HYD,2023-04-21,418,ATR72,194,79,500720.91,845727.49
150,DXB-JFK,DXB,JFK,2023-01-27,683,A380,107,61,177686.46,591382.47
151,CCU-DXB,CCU,DXB,2023-01-07,245,B737,244,218,829596.91,409827.98
152,BOM-BLR,BOM,BLR,2023-08-09,445,B777,216,137,287955.5,590144.77
153,CCU-DEL,CCU,DEL,2023-02-23,219,B737,293,208,280454.19,382601
154,SIN-DXB,SIN,DXB,2024-05-12,681,B777,206,119,298568.95,819168.7
155,CCU-SIN,CCU,SIN,2023-04-24,350,ATR72,224,184,1043266.74,242275.63
156,DXB-BOM,DXB,BOM,2023-01-08,269,A380,154,148,290175.26,367170.02
157,CCU-DEL,CCU,DEL,2023-01-08,569,B777,144,66,241655.84,743437.7
158,LHR-JFK,LHR,JFK,2023-12-29,133,B777,289,60,243212.23,1054987.67
159,DEL-DXB,DEL,DXB,2024-03-15,647,B777,281,213,835781.69,425455.05
160,BOM-DXB,BOM,DXB,2023-06-25,880,ATR72,217,142,229601.1,1309769.26
161,HYD-SIN,HYD,SIN,2024-02-15,596,A320,201,129,802461.76,436923.1
162,BLR-DEL,BLR,DEL,2024-06-06,708,A320,235,180,424318.67,1318964.53
163,CCU-BLR,CCU,BLR,2023-08-30,165,B737,165,75,166086.99,288385.79
164,DEL-HYD,DEL,HYD,2024-05-20,535,ATR72,294,198,820182.69,1919748.38
165,JFK-CCU,JFK,CCU,2023-11-20,214,B777,117,110,450500.21,313265.94
166,MAA-BOM,MAA,BOM,2023-12-27,579,A320,179,168,699450.7,206336.58
167,MAA-DEL,MAA,DEL,2023-04-03,689,ATR72,229,148,627369.28,970218.38
168,BOM-LHR,BOM,LHR,2023-07-12,389,ATR72,221,178,365972.9,261579.34
169,DEL-DXB,DEL,DXB,2023-03-28,576,B737,110,65,386967.88,763852.47
170,LHR-JFK,LHR,JFK,2023-06-12,432,A380,172,99,382277.19,498434.73
171,JFK-BOM,JFK,BOM,2023-12-09,127,A380,124,121,695587.31,317652.19
172,JFK-BLR,JFK,BLR,2023-12-08,143,ATR72,269,86,637881.37,732604.49
173,DXB-BLR,DXB,BLR,2023-03-28,377,ATR72,196,134,896767.33,971125.45
174,LHR-DEL,LHR,DEL,2024-03-09,580,A380,104,73,230830.56,696513.97
175,CCU-LHR,CCU,LHR,2023-07-16,291,B737,139,59,181162.14,790401.97
176,LHR-JFK,LHR,JFK,2024-06-23,98,A380,296,208,398807.4,928156.31
177,BLR-HYD,BLR,HYD,2023-06-19,798,B777,111,76,269807.29,584018.86
178,SIN-MAA,SIN,MAA,2024-04-04,299,ATR72,161,89,690566.7,911758.37
179,HYD-DXB,HYD,DXB,2024-03-27,532,A380,299,147,664490.99,1015313.44
180,BLR-MAA,BLR,MAA,2023-05-22,316,A320,264,173,1231555.62,1118872.29
181,DEL-JFK,DEL,JFK,2023-05-08,351,A320,295,91,264768.06,1891805.06
182,BLR-SIN,BLR,SIN,2023-04-04,287,B777,189,56,218639.59,615764.76
183,CCU-HYD,CCU,HYD,2024-01-31,143,A380,157,53,171232.09,222047.51
184,CCU-BLR,CCU,BLR,2023-05-21,99,A380,220,85,536510.49,815866.21
185,JFK-BOM,JFK,BOM,2023-03-23,79,A380,155,69,334072.45,822872.63
186,LHR-DXB,LHR,DXB,2023-04-24,854,A380,160,88,163058.58,364531.99
187,JFK-SIN,JFK,SIN,2023-03-06,173,B777,252,187,208513.88,1006823.04
188,HYD-BLR,HYD,BLR,2023-10-26,499,A320,257,140,375752.95,869358.81
189,DEL-JFK,DEL,JFK,2024-01-05,129,ATR72,239,179,1164374.66,943395.15
190,BOM-SIN,BOM,SIN,2024-04-26,104,B777,195,114,710358.64,587726.5
191,DEL-DXB,DEL,DXB,2023-09-04,810,A320,297,198,1216969.16,849899.77
192,BOM-DXB,BOM,DXB,2023-12-13,893,B737,299,225,956781.07,1528312.6
193,BLR-HYD,BLR,HYD,2023-03-06,793,B777,109,68,163957.31,621831.61
194,BOM-DXB,BOM,DXB,2023-11-14,587,B777,239,171,474216.58,1307426.48
195,HYD-CCU,HYD,CCU,2024-01-01,859,A320,267,134,390277.18,1536831.43
196,DXB-SIN,DXB,SIN,2024-03-26,455,A380,147,113,660426.18,452399.99
197,LHR-MAA,LHR,MAA,2023-03-26,804,B777,120,105,547803.17,707821.91
198,LHR-MAA,LHR,MAA,2023-11-25,165,A320,183,125,393183.87,830134.5
199,DXB-BLR,DXB,BLR,2024-03-30,419,B777,110,96,680664.98,328445.45
200,DXB-MAA,DXB,MAA,2023-02-28,136,B777,193,181,1195988.6,967382.73
201,BOM-HYD,BOM,HYD,2024-03-24,95,B737,117,80,515968.61,359334.67
202,DXB-BOM,DXB,BOM,2023-06-07,755,B777,194,145,595598.38,247677.79
203,BLR-JFK,BLR,JFK,2024-01-11,467,A380,266,121,332421.07,399899.45
204,BLR-LHR,BLR,LHR,2024-06-14,456,ATR72,130,83,533254.36,671454.48
205,HYD-CCU,HYD,CCU,2024-05-17,264,A320,134,59,245693.63,853822.54
206,SIN-DEL,SIN,DEL,2023-11-24,743,A380,281,66,320098.68,730669.17
207,MAA-BLR,MAA,BLR,2023-06-28,872,A380,230,107,197900.48,470598.01
208,BLR-MAA,BLR,MAA,2024-05-20,86,A380,241,196,702146.12,1393631.35
209,LHR-BLR,LHR,BLR,2023-03-30,127,A380,201,172,804937.57,1119332.86
210,JFK-DEL,JFK,DEL,2023-05-09,384,A320,215,169,973568.94,631238.2
211,LHR-BLR,LHR,BLR,2023-05-13,503,ATR72,114,65,300736.47,306155.23
212,BLR-DXB,BLR,DXB,2023-08-19,414,ATR72,172,158,245219.05,346936.37
213,LHR-MAA,LHR,MAA,2023-05-09,700,A380,257,186,307643.79,1226949.37
214,JFK-BLR,JFK,BLR,2023-06-25,734,ATR72,284,280,1466072.26,1710726.83
215,JFK-BOM,JFK,BOM,2023-01-30,143,A320,264,247,1244237.46,1276969.55
216,JFK-DXB,JFK,DXB,2023-02-01,569,ATR72,174,132,1015944.76,660200.87
217,DXB-MAA,DXB,MAA,2024-04-09,134,A320,140,106,414391.34,515135.79
218,CCU-BLR,CCU,BLR,2023-11-17,795,A380,287,270,922750.36,939076.33
219,CCU-JFK,CCU,JFK,2023-04-19,386,B737,219,81,232656.44,511824.26
220,DEL-BOM,DEL,BOM,2023-10-25,453,ATR72,207,113,874484.51,1323625.72
221,CCU-DXB,CCU,DXB,2023-07-14,841,B737,227,181,772454.75,1418811.09
222,SIN-BOM,SIN,BOM,2023-04-03,462,ATR72,217,111,278167.22,648385.05
223,BOM-CCU,BOM,CCU,2024-05-21,671,B777,173,118,124754.54,253701.37
224,BLR-CCU,BLR,CCU,2024-01-10,842,B777,193,61,232048.35,836799.02
225,HYD-DXB,HYD,DXB,2023-10-23,135,B777,229,165,1047886.75,580347.42
226,JFK-DEL,JFK,DEL,2023-05-12,159,B777,195,136,667055.91,598018.11
227,BLR-MAA,BLR,MAA,2024-06-05,471,ATR72,110,52,66164.68,574669.64
228,SIN-JFK,SIN,JFK,2024-04-12,212,ATR72,231,85,280139.68,1062836.16
229,BLR-SIN,BLR,SIN,2023-11-03,667,A380,229,180,850748.19,1189468.78
230,MAA-LHR,MAA,LHR,2023-01-18,437,A380,272,78,613024.33,1201955.29
231,BOM-LHR,BOM,LHR,2023-09-29,731,ATR72,247,108,653378.48,1091207.55
232,BLR-JFK,BLR,JFK,2024-01-25,211,B737,108,86,656819.51,159986.04
233,BOM-LHR,BOM,LHR,2023-11-18,488,B737,205,102,395009.47,1148989.8
234,SIN-BOM,SIN,BOM,2023-05-22,591,B737,243,133,1062252.39,915113.72
235,DXB-CCU,DXB,CCU,2023-06-27,530,ATR72,187,140,802351.21,1155558.52
236,MAA-LHR,MAA,LHR,2023-07-16,312,A380,242,126,324332.73,1653355.11
237,MAA-CCU,MAA,CCU,2023-08-01,766,B777,181,172,591959.02,1192598.56
238,MAA-CCU,MAA,CCU,2023-05-05,647,ATR72,197,151,1016024.98,1323559.27
239,BLR-CCU,BLR,CCU,2023-02-13,354,A320,188,163,911464.11,1021497.76
240,HYD-MAA,HYD,MAA,2023-10-05,635,A380,135,63,334513.57,599177.13
241,HYD-BOM,HYD,BOM,2023-08-20,713,B737,113,62,241372.79,592981.05
242,DEL-HYD,DEL,HYD,2023-01-06,623,B737,204,171,742505.88,415471.92
243,MAA-DXB,MAA,DXB,2023-10-20,721,A320,296,72,400758.56,662970.51
244,BOM-HYD,BOM,HYD,2024-03-03,240,A320,201,176,405535.93,1094207.79
245,MAA-BOM,MAA,BOM,2023-01-10,365,ATR72,254,77,577437.16,730824.32
246,SIN-JFK,SIN,JFK,2024-06-20,565,B737,229,169,491766.27,1331553.94
247,CCU-BLR,CCU,BLR,2024-04-14,723,A380,283,97,106563.17,817897.03
248,MAA-HYD,MAA,HYD,2023-06-29,685,B777,209,181,596483.08,686599.72
249,DEL-HYD,DEL,HYD,2023-05-24,548,A380,163,50,141274.85,368417.78
250,MAA-DXB,MAA,DXB,2023-11-06,656,ATR72,102,66,368001.72,519706.86
251,BOM-BLR,BOM,BLR,2024-04-21,374,B737,203,178,1328190.09,1279786.86
252,MAA-DEL,MAA,DEL,2023-10-30,436,ATR72,156,78,600718.85,587297.53
253,SIN-CCU,SIN,CCU,2024-03-01,778,ATR72,220,187,1236811.44,1302123.19
254,HYD-DEL,HYD,DEL,2024-06-22,517,ATR72,280,142,219634.11,1203396.9
255,BOM-JFK,BOM,JFK,2024-06-01,267,ATR72,237,88,189354.89,1445181.74
256,SIN-DEL,SIN,DEL,2023-07-30,794,ATR72,225,73,532332.46,801448.36
257,BOM-LHR,BOM,LHR,2023-05-16,585,B777,216,194,272406.55,792017.03
258,MAA-BOM,MAA,BOM,2024-02-10,320,A320,290,105,530058.78,313431.07
259,CCU-DEL,CCU,DEL,2023-03-03,130,B777,108,68,262620.66,601303.69
260,DXB-CCU,DXB,CCU,2024-01-27,519,B777,196,70,404537.87,961010.29
261,LHR-BLR,LHR,BLR,2023-12-23,181,B737,237,150,705284.67,1259114.75
262,HYD-BOM,HYD,BOM,2023-01-24,365,B777,272,234,1125801.47,1114652.84
263,HYD-MAA,HYD,MAA,2024-04-16,414,B737,170,74,559578.57,900175.24
264,DEL-BOM,DEL,BOM,2024-03-05,689,A320,161,76,111798.76,721675.05
265,SIN-BOM,SIN,BOM,2023-09-08,818,A320,202,162,427740.74,433707.96
266,BOM-HYD,BOM,HYD,2024-05-30,356,B737,287,197,636768.2,1293534.71
267,CCU-HYD,CCU,HYD,2023-11-06,206,ATR72,156,102,316557.68,183758.23
268,JFK-BLR,JFK,BLR,2024-03-13,629,B777,112,112,382021.23,536318.68
269,DXB-JFK,DXB,JFK,2023-11-23,773,B777,204,88,272731.31,395770.13
270,LHR-SIN,LHR,SIN,2023-09-04,290,A380,281,86,571077.25,1818462.07
271,LHR-DXB,LHR,DXB,2024-03-02,630,ATR72,134,99,267300.95,276132.16
272,DEL-LHR,DEL,LHR,2024-01-15,154,ATR72,285,262,611343.29,702371.63
273,JFK-BOM,JFK,BOM,2023-03-16,252,ATR72,285,221,1085541.69,1075089.56
274,CCU-MAA,CCU,MAA,2023-01-16,276,B737,289,80,498252.37,1582809.83
275,HYD-MAA,HYD,MAA,2024-02-11,305,ATR72,182,122,447085.13,747770.8
276,CCU-MAA,CCU,MAA,2023-09-25,428,ATR72,227,169,285653.54,1562707.6
277,SIN-CCU,SIN,CCU,2023-07-28,439,A380,205,61,301198.06,445239.38
278,BLR-BOM,BLR,BOM,2023-09-25,626,ATR72,248,234,917992.88,432747.78
279,CCU-HYD,CCU,HYD,2024-01-24,643,B737,227,190,1060628.59,1145453.12
280,MAA-LHR,MAA,LHR,2024-05-17,531,B737,287,253,876703.99,478642.21
281,LHR-SIN,LHR,SIN,2023-07-08,615,A320,234,58,398661.81,295038.56
282,BOM-DEL,BOM,DEL,2024-02-27,200,B737,117,69,73415.33,460458.66
283,CCU-BOM,CCU,BOM,2024-05-09,735,B777,104,50,236274.37,348431.07
284,BOM-JFK,BOM,JFK,2023-10-09,608,A380,104,82,548752.24,517816.45
285,BLR-DEL,BLR,DEL,2023-04-09,596,B737,161,74,395046.48,380763.84
286,CCU-MAA,CCU,MAA,2024-02-11,140,A380,203,167,827487.55,1408707.29
287,HYD-CCU,HYD,CCU,2023-03-24,729,A320,123,101,369139.66,519890.12
288,BOM-DEL,BOM,DEL,2023-06-25,144,B777,211,134,664773.52,1291183.68
289,DEL-JFK,DEL,JFK,2023-02-13,295,B737,277,277,1375994.46,687178.64
290,DEL-CCU,DEL,CCU,2023-02-03,243,A380,104,63,321882.92,568253.68
291,DXB-DEL,DXB,DEL,2023-11-03,226,ATR72,161,122,834791.58,517256.13
292,LHR-CCU,LHR,CCU,2024-01-29,833,B737,276,235,364013.55,1496425.27
293,CCU-BOM,CCU,BOM,2023-04-11,507,B737,119,93,486964.85,548109.77
294,JFK-DXB,JFK,DXB,2023-12-01,90,A380,300,165,731646.99,901808.83
295,DXB-SIN,DXB,SIN,2023-07-10,756,ATR72,269,147,235179.25,1246927.58
296,HYD-DEL,HYD,DEL,2023-03-26,334,B737,197,89,549805.25,544390.79
297,DEL-BLR,DEL,BLR,2023-01-06,375,B777,192,119,204158.77,257518.63
298,DXB-LHR,DXB,LHR,2024-06-08,477,A320,106,55,191257,145961.83
299,JFK-CCU,JFK,CCU,2024-01-30,72,A380,205,149,961673.38,1085276.53
300,LHR-HYD,LHR,HYD,2024-06-17,233,B777,143,67,193122.99,352369.47
301,BLR-DEL,BLR,DEL,2023-06-21,505,A380,207,126,553092.02,264320.88
302,MAA-HYD,MAA,HYD,2024-05-22,668,ATR72,150,108,188871.11,403331.94
303,DXB-CCU,DXB,CCU,2024-01-25,883,A380,212,135,541932.33,1252054.72
304,JFK-BLR,JFK,BLR,2023-11-04,388,ATR72,277,101,439659.89,526674.25
305,DXB-CCU,DXB,CCU,2023-10-26,812,B777,247,112,367494.81,626851.64
306,DXB-CCU,DXB,CCU,2023-04-27,637,B737,251,189,427043.7,1395366.99
307,BOM-LHR,BOM,LHR,2023-08-03,508,A380,277,67,451094.85,1588061.05
308,DXB-LHR,DXB,LHR,2023-05-23,708,A380,161,82,460072.54,842748.97
309,DXB-DEL,DXB,DEL,2024-04-04,672,B777,249,152,720566.91,1624892.75
